run_id,bin,agreement_low,agreement_high,n,share,featured_fraction,majority_baseline,lift,error_share,accuracy,balanced_accuracy,auc_roc,ece,brier,arch,dataset,label_mode,policy,size,finetune,loss,train_size,seed,orientation_pooled,pretrained
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed1,0,0.0,0.2,5122,0.10713688085676037,0.4328387348691917,0.5671612651308082,-0.11187036313939863,0.18119236264449928,0.4552909019914096,0.5168023340219567,0.6117894349483766,0.470262254305018,0.47922084611364146,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,1,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed1,1,0.2,0.4,5706,0.11935240963855422,0.38310550297932,0.61689449702068,-0.1596565019277953,0.2011300168853098,0.4572379950928847,0.558351570947351,0.8070840784330033,0.4524014760393915,0.4522048823535348,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,1,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed1,2,0.4,0.6,6977,0.14593791834002678,0.29281926329367924,0.7071807367063208,-0.2235918016339401,0.23399142745811144,0.48358893507238065,0.6341634191990169,0.949341439155442,0.3833022983941296,0.39145370231322923,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,1,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed1,3,0.6,0.8,13454,0.2814173360107095,0.16701352757544224,0.8329864724245577,-0.14226252415638463,0.2702298999870113,0.6907239482681731,0.8138233864182016,0.9950327273758306,0.12844191634122198,0.21250969421640617,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,1,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed1,4,0.8,1.0,16549,0.34615545515394913,0.22859387274155538,0.7714061272584446,0.12302858178741916,0.1134562930250682,0.8944347090458638,0.9314830577139772,0.9998425470047094,0.036435587504520486,0.0798803626220646,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,1,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed2,0,0.0,0.2,5122,0.10713688085676037,0.4328387348691917,0.5671612651308082,-0.11069894572432637,0.17970565453137102,0.45646231940648185,0.5177816233035758,0.6182888134793183,0.46102830727174815,0.4701408561239419,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,2,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed2,1,0.2,0.4,5706,0.11935240963855422,0.38310550297932,0.61689449702068,-0.17490361023484052,0.20552543248128066,0.4419908867858395,0.5459936164018964,0.803741461677618,0.4566965734457504,0.4483779322560826,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,2,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed2,2,0.4,0.6,6977,0.14593791834002678,0.29281926329367924,0.7071807367063208,-0.23950121828866272,0.23973663826491093,0.46767951841765804,0.6232017402101275,0.9454802908921504,0.37924625792424344,0.38292297150499005,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,2,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed2,3,0.6,0.8,13454,0.2814173360107095,0.16701352757544224,0.8329864724245577,-0.14166790545562657,0.2680738445649367,0.6913185669689311,0.8143582101418033,0.9949005304515754,0.10542923904714768,0.20239886454056624,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,2,False,True
convnext_tiny_hard_debiased_d4_s224_full_bce_nfull_seed2,4,0.8,1.0,16549,0.34615545515394913,0.22859387274155538,0.7714061272584446,0.12846697685660768,0.10695843015750064,0.8998731041150523,0.9351010496631678,0.999937165818752,0.05792952477124969,0.07671870496535299,convnext_tiny,gz2,hard_debiased,d4,224,full,bce,0,2,False,True
